Provinsi / Kabupaten / Kota,,
,Indeks Pemberdayaan Gender (IDG),
,2022,2023
ACEH,63.92,63.56
SIMEULUE,63.72,64.79
ACEH SINGKIL,59.51,59.84
ACEH SELATAN,57.35,57.65
ACEH TENGGARA,58.94,59.4
ACEH TIMUR,57.53,57.52
ACEH TENGAH,72.52,71.78
ACEH BARAT,57.09,56.86
ACEH BESAR,47.65,47.2
PIDIE,64.75,66.3
BIREUEN,58.16,59.19
ACEH UTARA,52,49.18
ACEH BARAT DAYA,53.09,50.62
GAYO LUES,57.61,57.31
ACEH TAMIANG,75.64,76.54
NAGAN RAYA,63.09,63.54
ACEH JAYA,58.5,58.35
BENER MERIAH,51.72,52.68
PIDIE JAYA,56.33,52.15
KOTA BANDA ACEH,62.89,62.42
KOTA SABANG,75.06,75.43
KOTA LANGSA,64.75,65.54
KOTA LHOKSEUMAWE,65.72,65.7
KOTA SUBULUSSALAM,69.74,67.84
SUMATERA UTARA,69.33,69.18
NIAS,64.53,61.45
MANDAILING NATAL,73.56,73.73
TAPANULI SELATAN,70.95,71.61
TAPANULI TENGAH,74.56,76.81
TAPANULI UTARA,63.2,63.82
TOBA SAMOSIR,60.66,61.53
LABUHAN BATU,72.24,70.39
ASAHAN,68.37,71.05
SIMALUNGUN,62.53,62.35
DAIRI,62.57,62.34
KARO,82.28,82.74
DELI SERDANG,54.72,59.68
LANGKAT,67.5,67.16
NIAS SELATAN,69.03,69.45
HUMBANG HASUNDUTAN,73.12,70.85
PAKPAK BHARAT,67.11,67.9
SAMOSIR,81.05,80.13
SERDANG BEDAGAI,65.98,67.48
BATU BARA,66.84,66.23
PADANG LAWAS UTARA,68.98,67.41
PADANG LAWAS,56.37,58.95
LABUHAN BATU SELATAN,66.45,61.03
LABUHAN BATU UTARA,48.77,45.52
NIAS UTARA,62.19,69.4
NIAS BARAT,66.61,66.95
KOTA SIBOLGA,72.84,75.14
KOTA TANJUNG BALAI,64.8,66.84
KOTA PEMATANG SIANTAR,62.65,62.96
KOTA TEBING TINGGI,54.15,54.63
KOTA MEDAN,64.31,62.35
KOTA BINJAI,70.65,70.54
KOTA PADANGSIDIMPUAN,66.43,66.85
KOTA GUNUNGSITOLI,63.59,64.2
SUMATERA BARAT,65.48,65.34
