Provinsi / Kabupaten / Kota,,,
,Indeks Pemberdayaan Gender (IDG),,
,2019,2020,2021
ACEH,63.31,63.47,63.24
SIMEULUE,64.51,64.65,64.95
ACEH SINGKIL,59.72,59.83,59.65
ACEH SELATAN,55.96,56.41,55.87
ACEH TENGGARA,58.1,58.83,58.1
ACEH TIMUR,53.21,52.27,47.84
ACEH TENGAH,68.18,71.39,71.82
ACEH BARAT,56.89,57.22,56.69
ACEH BESAR,47.73,47.37,48.11
PIDIE,64.7,65.69,66.02
BIREUEN,57.9,57.98,58.17
ACEH UTARA,50.65,52,51.27
ACEH BARAT DAYA,51.9,52.6,52.3
GAYO LUES,56.51,56.49,56.76
ACEH TAMIANG,74.39,73.5,75.01
NAGAN RAYA,61.8,61.56,61.74
ACEH JAYA,58.29,58.27,58.42
BENER MERIAH,52.36,52.58,52.53
PIDIE JAYA,55.49,55.32,55.04
KOTA BANDA ACEH,63.3,63.59,62.42
KOTA SABANG,76.01,75.43,75.66
KOTA LANGSA,65.12,65.34,65.47
KOTA LHOKSEUMAWE,58.25,57.93,58.26
KOTA SUBULUSSALAM,69.01,69.04,68.91
SUMATERA UTARA,67.76,67.52,67.79
NIAS,63.15,62.03,60.33
MANDAILING NATAL,72.7,70.01,71.9
TAPANULI SELATAN,71.03,69.61,69.25
TAPANULI TENGAH,60.4,74.05,74.39
TAPANULI UTARA,62.81,65.84,66.36
TOBA SAMOSIR,59.6,60.07,59.51
LABUHAN BATU,71.47,71.52,71.96
ASAHAN,69.1,67.48,68.54
SIMALUNGUN,62.33,61.49,62.4
DAIRI,62.12,61.14,61.11
KARO,75.32,77.75,81.53
DELI SERDANG,54.81,54.42,55.14
LANGKAT,66.21,66.55,66.04
NIAS SELATAN,64.63,66.7,67.04
HUMBANG HASUNDUTAN,72.08,72.27,72.76
PAKPAK BHARAT,64.93,66.49,66.97
SAMOSIR,79.78,78.2,78.75
SERDANG BEDAGAI,65.7,65.73,65.49
BATU BARA,61.49,63.18,63.16
PADANG LAWAS UTARA,67.58,67.99,68.14
PADANG LAWAS,55.81,55.43,57.61
LABUHAN BATU SELATAN,60.81,63.24,64.56
LABUHAN BATU UTARA,47.29,47.27,46.14
NIAS UTARA,67.57,66.93,67.03
NIAS BARAT,65.8,64.55,65.88
KOTA SIBOLGA,74.57,73.03,71.84
KOTA TANJUNG BALAI,59.78,63.28,63.46
KOTA PEMATANG SIANTAR,61.56,61.58,62.43
KOTA TEBING TINGGI,53.6,53.58,53.78
KOTA MEDAN,63.93,63.89,63.91
KOTA BINJAI,70.26,69.85,68.32
KOTA PADANGSIDIMPUAN,65.89,65.72,65.99
KOTA GUNUNGSITOLI,66.97,66.94,63.28
SUMATERA BARAT,59.09,58.28,65.12
KEPULAUAN MENTAWAI,48.36,48.13,47.36
PESISIR SELATAN,55.79,56.93,53.39
SOLOK,63.89,62.23,61.57
SIJUNJUNG,59.96,59.93,60.46
TANAH DATAR,58.35,58.46,59.7
PADANG PARIAMAN,49.1,48.79,46.64
AGAM,63.32,63.06,63.07
LIMA PULUH KOTA,50.18,51.09,50.59
PASAMAN,64.22,61.57,62.74
SOLOK SELATAN,50.23,49.19,47.86
DHARMAS RAYA,51.42,50.87,50.66
PASAMAN BARAT,60.88,60.16,60.38
KOTA PADANG,67.49,67.53,65.33
KOTA SOLOK,58.47,57.46,63.09
KOTA SAWAH LUNTO,66.18,65.87,65.48
KOTA PADANG PANJANG,66.57,65.24,66.62
KOTA BUKITTINGGI,60.99,60.33,60.19
KOTA PAYAKUMBUH,67.81,71.01,71.58
