Provinsi/Kabupaten/Kota,,,
,Indeks Ketimpangan Gerder (IKG),,
,2021,2022,2023
ACEH,0.503,0.504,0.489
Simeulue,0.347,0.402,0.302
Aceh Singkil,0.561,0.558,0.525
Aceh Selatan,0.432,0.515,0.457
Aceh Tenggara,0.509,0.543,0.519
Aceh Timur,0.577,0.589,0.548
Aceh Tengah,0.492,0.469,0.507
Aceh Barat,0.47,0.296,0.404
Aceh Besar,0.524,0.532,0.5
Pidie,0.391,0.387,0.288
Bireuen,0.523,0.503,0.478
Aceh Utara,0.602,0.606,0.558
Aceh Barat Daya,0.398,0.471,0.494
Gayo Lues,0.628,0.617,0.604
Aceh Tamiang,0.498,0.492,0.488
Nagan Raya,0.514,0.476,0.486
Aceh Jaya,0.4,0.478,0.464
Bener Meriah,0.549,0.576,0.573
Pidie Jaya,0.517,0.501,0.786
Kota Banda Aceh,0.233,0.244,0.335
Kota Sabang,0.267,0.266,0.326
Kota Langsa,0.5,0.466,0.467
Kota Lhokseumawe,0.417,0.345,0.303
Kota Subulussalam,0.588,0.586,0.583
SUMATERA UTARA,0.445,0.442,0.425
Nias,0.59,0.566,0.563
Mandailing Natal,0.512,0.524,0.515
Tapanuli Selatan,0.529,0.507,0.514
Tapanuli Tengah,0.382,0.435,0.453
Tapanuli Utara,0.438,0.427,0.292
Toba Samosir / Toba,0.493,0.535,0.505
Labuhan Batu,0.41,0.475,0.427
Asahan,0.413,0.406,0.447
Simalungun,0.472,0.479,0.402
Dairi,0.395,0.416,0.341
Karo,0.333,0.356,0.291
Deli Serdang,0.418,0.412,0.325
Langkat,0.408,0.424,0.231
Nias Selatan,0.57,0.576,0.565
Humbang Hasundutan,0.358,0.354,0.291
Pakpak Bharat,0.277,0.342,0.152
Samosir,0.287,0.265,0.244
Serdang Bedagai,0.332,0.411,0.434
Batu Bara,0.437,0.444,0.446
Padang Lawas Utara,0.557,0.567,0.555
Padang Lawas,0.612,0.594,0.585
Labuhan Batu Selatan,0.533,0.514,0.5
Labuhan Batu Utara,0.604,0.592,0.561
Nias Utara,0.582,0.582,0.575
Nias Barat,0.53,0.56,0.529
Kota Sibolga,0.363,0.297,0.259
Kota Tanjung Balai,0.199,0.374,0.244
Kota Pematang Siantar,0.346,0.449,0.317
Kota Tebing Tinggi,0.354,0.27,0.256
Kota Medan,0.319,0.278,0.232
Kota Binjai,0.268,0.278,0.142
Kota Padangsidimpuan,0.348,0.286,0.26
Kota Gunungsitoli,0.419,0.371,0.48
SUMATERA BARAT,0.455,0.43,0.425
Kepulauan Mentawai,0.851,0.85,0.851
Pesisir Selatan,0.505,0.517,0.482
Solok,0.48,0.403,0.423
Sijunjung,0.527,0.501,0.465
Tanah Datar,0.312,0.305,0.336
Padang Pariaman,0.75,0.763,0.751
Agam,0.359,0.239,0.162
Lima Puluh Kota,0.549,0.496,0.492
Pasaman,0.535,0.522,0.527
Solok Selatan,0.804,0.787,0.811
Dharmasraya,0.553,0.528,0.539
Pasaman Barat,0.532,0.519,0.494
Kota Padang,0.32,0.171,0.198
