Provinsi/Kabupaten/Kota,,,
,Indeks Ketimpangan Gerder (IKG),,
,2018,2019,2020
ACEH,0.503,0.528,0.514
Simeulue,0.41,0.431,0.446
Aceh Singkil,0.549,0.582,0.58
Aceh Selatan,0.523,0.501,0.412
Aceh Tenggara,0.533,0.559,0.548
Aceh Timur,0.556,0.629,0.606
Aceh Tengah,0.516,0.501,0.509
Aceh Barat,0.555,0.554,0.49
Aceh Besar,0.547,0.544,0.543
Pidie,0.439,0.384,0.404
Bireuen,0.552,0.52,0.513
Aceh Utara,0.609,0.627,0.568
Aceh Barat Daya,0.434,0.475,0.479
Gayo Lues,0.56,0.619,0.609
Aceh Tamiang,0.483,0.492,0.502
Nagan Raya,0.528,0.515,0.468
Aceh Jaya,0.701,0.52,0.542
Bener Meriah,0.549,0.608,0.601
Pidie Jaya,0.577,0.556,0.594
Kota Banda Aceh,0.202,0.329,0.185
Kota Sabang,0.291,0.38,0.41
Kota Langsa,0.543,0.476,0.45
Kota Lhokseumawe,0.486,0.438,0.406
Kota Subulussalam,0.578,0.578,0.586
SUMATERA UTARA,0.465,0.484,0.468
Nias,0.848,0.6,0.597
Mandailing Natal,0.578,0.53,0.533
Tapanuli Selatan,0.538,0.544,0.496
Tapanuli Tengah,0.569,0.532,0.468
Tapanuli Utara,0.408,0.447,0.421
Toba Samosir / Toba,0.528,0.533,0.52
Labuhan Batu,0.413,0.398,0.467
Asahan,0.481,0.5,0.41
Simalungun,0.479,0.498,0.513
Dairi,0.4,0.396,0.445
Karo,0.466,0.398,0.408
Deli Serdang,0.427,0.448,0.406
Langkat,0.534,0.491,0.407
Nias Selatan,0.547,0.57,0.576
Humbang Hasundutan,0.539,0.435,0.383
Pakpak Bharat,0.793,0.41,0.299
Samosir,0.379,0.361,0.32
Serdang Bedagai,0.463,0.498,0.455
Batu Bara,0.482,0.505,0.49
Padang Lawas Utara,0.591,0.577,0.559
Padang Lawas,0.631,0.617,0.627
Labuhan Batu Selatan,0.558,0.593,0.563
Labuhan Batu Utara,0.632,0.607,0.601
Nias Utara,0.586,0.58,0.568
Nias Barat,0.553,0.577,0.544
Kota Sibolga,0.237,0.202,0.214
Kota Tanjung Balai,0.435,0.442,0.272
Kota Pematang Siantar,0.247,0.433,0.169
Kota Tebing Tinggi,0.409,0.333,0.465
Kota Medan,0.23,0.343,0.317
Kota Binjai,0.33,0.386,0.18
Kota Padangsidimpuan,0.457,0.448,0.193
Kota Gunungsitoli,0.461,0.348,0.425
SUMATERA BARAT,0.447,0.527,0.503
Kepulauan Mentawai,0.849,0.854,0.855
Pesisir Selatan,0.521,0.521,0.492
Solok,0.484,0.476,0.449
Sijunjung,0.528,0.501,0.516
Tanah Datar,0.384,0.416,0.387
Padang Pariaman,0.475,0.791,0.778
Agam,0.392,0.408,0.384
Lima Puluh Kota,0.396,0.536,0.441
Pasaman,0.507,0.526,0.525
Solok Selatan,0.815,0.827,0.824
Dharmasraya,0.536,0.57,0.566
Pasaman Barat,0.603,0.569,0.554
Kota Padang,0.18,0.192,0.2
Kota Solok,0.321,0.349,0.27
Kota Sawah Lunto,0.232,0.168,0.285
Kota Padang Panjang,0.057,0.23,0.153
Kota Bukittinggi,0.355,0.194,0.273
Kota Payakumbuh,0.186,0.173,0.279
Kota Pariaman,0.289,0.185,0.377
RIAU,0.497,0.523,0.503
Kuantan Singingi,0.617,0.65,0.608
Indragiri Hulu,0.562,0.63,0.636
Indragiri Hilir,0.639,0.609,0.59
Pelalawan,0.605,0.846,0.625
Siak,0.55,0.591,0.599
Kampar,0.52,0.56,0.531
Rokan Hulu,0.571,0.617,0.603
Bengkalis,0.531,0.534,0.494
Rokan Hilir,0.633,0.584,0.571
Kepulauan Meranti,0.516,0.536,0.491
Kota Pekanbaru,0.337,0.249,0.231
Kota Dumai,0.381,0.385,0.305
JAMBI,0.561,0.575,0.558
Kerinci,0.526,0.592,0.592
Merangin,0.865,0.863,0.857
Sarolangun,0.615,0.626,0.603
Batang Hari,0.58,0.558,0.52
Muaro Jambi,0.575,0.62,0.616
Tanjung Jabung Timur,0.556,0.578,0.539
Tanjung Jabung Barat,0.577,0.575,0.553
Tebo,0.593,0.677,0.646
Bungo,0.602,0.617,0.609
Kota Jambi,0.297,0.344,0.252
Kota Sungai Penuh,0.754,0.748,0.794
SUMATERA SELATAN,0.528,0.531,0.521
Ogan Komering Ulu,0.567,0.565,0.59
Ogan Komering Ilir,0.582,0.591,0.578
Muara Enim,0.596,0.562,0.565
Lahat,0.565,0.538,0.508
Musi Rawas,0.617,0.595,0.579
Musi Banyuasin,0.575,0.629,0.605
Banyu Asin,0.594,0.58,0.576
Ogan Komering Ulu Selatan,0.595,0.591,0.603
Ogan Komering Ulu Timur,0.569,0.553,0.549
Ogan Ilir,0.598,0.54,0.536
Empat Lawang,0.599,0.622,0.592
Penukal Abab Lematang Ilir,0.656,0.849,0.851
Musi Rawas Utara,0.642,0.663,0.672
Kota Palembang,0.381,0.433,0.451
Kota Prabumulih,0.445,0.386,0.391
Kota Pagar Alam,0.454,0.5,0.447
Kota Lubuklinggau,0.419,0.451,0.404
BENGKULU,0.55,0.544,0.523
Bengkulu Selatan,0.828,0.829,0.827
Rejang Lebong,0.533,0.52,0.469
Bengkulu Utara,0.584,0.588,0.6
Kaur,0.584,0.62,0.555
Seluma,0.613,0.566,0.572
Mukomuko,0.645,0.638,0.633
Lebong,0.574,0.557,0.545
Kepahiang,0.551,0.577,0.529
Bengkulu Tengah,0.55,0.537,0.485
Kota Bengkulu,0.336,0.443,0.412
LAMPUNG,0.504,0.494,0.474
Lampung Barat,0.57,0.575,0.526
Tanggamus,0.498,0.572,0.539
Lampung Selatan,0.529,0.545,0.553
Lampung Timur,0.433,0.467,0.365
Lampung Tengah,0.573,0.52,0.436
Lampung Utara,0.569,0.554,0.485
Way Kanan,0.566,0.563,0.573
Tulangbawang,0.472,0.464,0.495
Pesawaran,0.496,0.515,0.498
Pringsewu,0.317,0.383,0.376
Mesuji,0.599,0.562,0.557
Tulang Bawang Barat,0.535,0.586,0.561
Pesisir Barat,0.593,0.636,0.62
Kota Bandar Lampung,0.208,0.316,0.375
Kota Metro,0.142,0.15,0.146
KEP. BANGKA BELITUNG,0.587,0.585,0.559
Bangka,0.5,0.479,0.468
Belitung,0.603,0.559,0.575
Bangka Barat,0.579,0.528,0.421
Bangka Tengah,0.56,0.565,0.512
Bangka Selatan,0.643,0.621,0.605
Belitung Timur,0.466,0.518,0.479
Kota Pangkal Pinang,0.351,0.242,0.242
KEPULAUAN RIAU,0.386,0.414,0.416
Karimun,0.475,0.423,0.398
Bintan,0.464,0.389,0.416
Natuna,0.612,0.848,0.837
Lingga,0.558,0.589,0.578
Kepulauan Anambas,0.526,0.581,0.491
Kota Batam,0.404,0.394,0.407
Kota Tanjung Pinang,0.227,0.176,0.255
DKI JAKARTA,0.3,0.237,0.21
Kep. Seribu,0.439,0.496,0.403
Kota Jakarta Selatan,0.304,0.235,0.161
Kota Jakarta Timur,0.312,0.245,0.167
Kota Jakarta Pusat,0.295,0.3,0.204
Kota Jakarta Barat,0.217,0.232,0.261
