Provinsi/Kabupaten/Kota,,
,Indeks Pembangunan Gender (IPG),
,2022,2023
ACEH,92.24,92.55
Simeulue,78.87,79.41
Aceh Singkil,84.97,85.23
Aceh Selatan,91.99,92.12
Aceh Tenggara,93.11,93.28
Aceh Timur,86.5,86.98
Aceh Tengah,97.35,97.5
Aceh Barat,85.98,86.36
Aceh Besar,95.22,95.29
Pidie,93.81,93.92
Bireuen,95.01,95.08
Aceh Utara,92.85,93.3
Aceh Barat Daya,89.96,90.27
Gayo Lues,89.48,89.63
Aceh Tamiang,82.09,82.38
Nagan Raya,90.82,91.02
Aceh Jaya,89.62,89.8
Bener Meriah,96.79,96.76
Pidie Jaya,94.99,95.27
Kota Banda Aceh,95.91,96.19
Kota Sabang,95.6,95.64
Kota Langsa,95.56,95.77
Kota Lhokseumawe,95.06,95.73
Kota Subulussalam,85.26,85.36
SUMATERA UTARA,91.06,91.31
Nias,91.28,91.05
Mandailing Natal,93.42,93.68
Tapanuli Selatan,90.99,90.63
Tapanuli Tengah,94.95,95.23
Tapanuli Utara,98.16,97.75
Toba Samosir / Toba,98.51,98.32
Labuhan Batu,90.81,90.74
Asahan,91.93,91.91
Simalungun,93.16,93.09
Dairi,98.15,98.44
Karo,96.38,96.36
Deli Serdang,91.61,91.92
Langkat,89.03,88.77
Nias Selatan,89.19,89.68
Humbang Hasundutan,97.65,97.45
Pakpak Bharat,99.25,98.99
Samosir,96.76,96.74
Serdang Bedagai,89.19,88.87
Batu Bara,83.51,83.76
Padang Lawas Utara,88.1,88.26
Padang Lawas,86.24,86.56
Labuhan Batu Selatan,87.98,88.34
Labuhan Batu Utara,90.13,90.43
Nias Utara,80.12,80.51
Nias Barat,87.02,87.33
Kota Sibolga,97.9,98.01
Kota Tanjung Balai,90.28,90.53
Kota Pematang Siantar,95.96,95.94
Kota Tebing Tinggi,93.62,93.64
Kota Medan,93.85,94.13
Kota Binjai,90.64,90.99
Kota Padangsidimpuan,97.92,97.53
Kota Gunungsitoli,89.69,89.92
SUMATERA BARAT,94.72,94.93
Kepulauan Mentawai,89.91,89.57
Pesisir Selatan,95.75,95.57
Solok,96.29,96.17
Sijunjung,94.16,94.28
Tanah Datar,97.62,97.73
Padang Pariaman,93.08,93.32
Agam,97,97.19
Lima Puluh Kota,94.85,94.77
Pasaman,92.51,92.7
Solok Selatan,95.2,95.27
Dharmasraya,88.56,89.11
Pasaman Barat,90.17,90.05
Kota Padang,93.85,93.94
Kota Solok,96.67,96.64
Kota Sawah Lunto,95.17,95.36
Kota Padang Panjang,98.24,98.19
Kota Bukittinggi,99.36,99.17
Kota Payakumbuh,98.61,98.58
Kota Pariaman,98.64,98.07
RIAU,88.71,88.98
Kuantan Singingi,90.48,90.47
Indragiri Hulu,86.73,87.07
Indragiri Hilir,82.74,83.2
Pelalawan,88.94,89.37
Siak,88.79,88.93
Kampar,89.81,89.87
Rokan Hulu,82.44,82.72
Bengkalis,90.11,89.94
Rokan Hilir,85.13,85.38
Kepulauan Meranti,86.97,87.35
Kota Pekanbaru,93.63,93.89
Kota Dumai,90.74,90.92
JAMBI,88.95,89.29
Kerinci,87.03,87.15
Merangin,88.35,88.82
Sarolangun,91.65,91.38
Batang Hari,85.44,85.57
Muaro Jambi,81.55,82.12
Tanjung Jabung Timur,87.68,87.9
Tanjung Jabung Barat,86.17,86.51
Tebo,90.92,91.63
Bungo,88.61,88.83
Kota Jambi,94.8,95.01
Kota Sungai Penuh,94.49,94.54
SUMATERA SELATAN,92.95,93.25
Ogan Komering Ulu,94.15,94.34
Ogan Komering Ilir,92.26,92.35
Muara Enim,89.87,89.82
Lahat,94.71,94.76
Musi Rawas,86.15,86.55
Musi Banyuasin,83.23,83.48
Banyu Asin,89.32,89.54
Ogan Komering Ulu Selatan,92.4,92.46
Ogan Komering Ulu Timur,94.36,94.59
Ogan Ilir,98.92,98.93
Empat Lawang,93.47,93.69
Penukal Abab Lematang Ilir,93.66,93.71
Musi Rawas Utara,93.02,92.96
Kota Palembang,96.24,96.52
Kota Prabumulih,93.99,93.72
Kota Pagar Alam,94.92,95.01
Kota Lubuklinggau,96.01,95.47
BENGKULU,91.36,91.57
Bengkulu Selatan,94.72,94.74
Rejang Lebong,93.83,94.24
Bengkulu Utara,91.39,91.47
Kaur,87.51,87.72
Seluma,86.16,86.3
Mukomuko,84.22,84.87
Lebong,92.19,92.06
Kepahiang,96.11,96.01
Bengkulu Tengah,87.29,87.25
