Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
,2016,2017,2018
ACEH,91.89,91.67,91.67
Simeulue,-,76.72,77.52
Aceh Singkil,-,83.98,84.02
Aceh Selatan,-,91.46,91.54
Aceh Tenggara,-,92.77,93.01
Aceh Timur,-,86.03,85.64
Aceh Tengah,-,97.69,97.75
Aceh Barat,-,84.92,85.41
Aceh Besar,-,95.09,95.19
Pidie,-,94.03,93.5
Bireuen,-,95.15,94.64
Aceh Utara,-,92.77,92.21
Aceh Barat Daya,-,89.49,89.86
Gayo Lues,-,87.77,88.39
Aceh Tamiang,-,81.28,81.43
Nagan Raya,-,89.8,89.92
Aceh Jaya,-,88.46,89.26
Bener Meriah,-,96.35,96.53
Pidie Jaya,-,95.19,95.35
Kota Banda Aceh,-,95.4,95.46
Kota Sabang,-,95.83,95.97
Kota Langsa,-,95.7,95.89
Kota Lhokseumawe,-,94.6,94.98
Kota Subulussalam,-,83.96,84.53
SUMATERA UTARA,90.82,90.65,90.66
Nias,-,90.33,90.86
Mandailing Natal,-,93.23,93.48
Tapanuli Selatan,-,91.07,91.21
Tapanuli Tengah,-,94.16,94.27
Tapanuli Utara,-,97.51,97.87
Toba Samosir / Toba,-,97.4,97.93
Labuhan Batu,-,90.79,91.02
Asahan,-,91.07,91.21
Simalungun,-,92.59,92.8
Dairi,-,97.68,97.44
Karo,-,96.08,96.27
Deli Serdang,-,90.78,91.18
Langkat,-,88.77,89.29
Nias Selatan,-,87.38,87.51
Humbang Hasundutan,-,97.15,96.93
Pakpak Bharat,-,98.98,99
Samosir,-,96.07,96.43
Serdang Bedagai,-,88.03,88.61
Batu Bara,-,82.65,82.9
Padang Lawas Utara,-,86.22,86.79
Padang Lawas,-,85.21,85.11
Labuhan Batu Selatan,-,87.29,86.97
Labuhan Batu Utara,-,89.34,89.82
Nias Utara,-,78.86,78.61
Nias Barat,-,85.53,85.97
Kota Sibolga,-,97.17,97.33
Kota Tanjung Balai,-,88.94,89.37
Kota Pematang Siantar,-,95.18,95.32
Kota Tebing Tinggi,-,93.23,93.33
Kota Medan,-,93.34,93.98
Kota Binjai,-,90.76,90.57
Kota Padangsidimpuan,-,97.16,97.17
Kota Gunungsitoli,-,89.46,89.21
SUMATERA BARAT,94.42,94.16,94.17
Kepulauan Mentawai,-,89.13,89.45
Pesisir Selatan,-,94.98,94.62
Solok,-,95.73,96.2
Sijunjung,-,93.4,93.21
Tanah Datar,-,98.51,97.58
Padang Pariaman,-,93.79,93.07
Agam,-,97.16,96.92
Lima Puluh Kota,-,94.62,94.93
Pasaman,-,93,92.61
Solok Selatan,-,94.54,94.92
Dharmasraya,-,88.43,88.26
Pasaman Barat,-,88.97,89.59
Kota Padang,-,93.77,93.77
Kota Solok,-,96.7,97.24
Kota Sawah Lunto,-,95.5,95.68
Kota Padang Panjang,-,97.76,97.77
Kota Bukittinggi,-,98.78,98.8
Kota Payakumbuh,-,98.53,98.54
Kota Pariaman,-,98.95,98.61
RIAU,88.04,88.17,88.37
Kuantan Singingi,-,89.71,90.06
Indragiri Hulu,-,86.58,86.61
Indragiri Hilir,-,81.8,82.37
Pelalawan,-,88.5,88.5
Siak,-,88.41,88.52
Kampar,-,89.22,89.29
Rokan Hulu,-,81.84,81.85
Bengkalis,-,89.81,89.96
Rokan Hilir,-,84.73,84.86
Kepulauan Meranti,-,85.3,85.9
Kota Pekanbaru,-,92.86,92.97
Kota Dumai,-,90.52,90.82
JAMBI,88.29,88.13,88.44
Kerinci,-,85.97,86.32
Merangin,-,87.64,88.01
Sarolangun,-,90.44,90.29
Batang Hari,-,84.18,84.49
Muaro Jambi,-,79.41,80.21
Tanjung Jabung Timur,-,86.56,87.3
Tanjung Jabung Barat,-,85.44,85.87
Tebo,-,90.06,90.22
Bungo,-,88.15,88.2
Kota Jambi,-,94.45,94.46
Kota Sungai Penuh,-,93.98,94.43
SUMATERA SELATAN,92.08,92.43,92.62
Ogan Komering Ulu,-,93.46,94.01
Ogan Komering Ilir,-,91.08,91.35
Muara Enim,-,89.32,89.76
Lahat,-,94.8,95.08
Musi Rawas,-,85.12,85.17
Musi Banyuasin,-,81.97,82.68
Banyu Asin,-,88.97,89.25
Ogan Komering Ulu Selatan,-,92.12,92.8
Ogan Komering Ulu Timur,-,93.84,94.14
Ogan Ilir,-,98.15,98.45
Empat Lawang,-,92.95,93.24
Penukal Abab Lematang Ilir,-,92.19,92.79
Musi Rawas Utara,-,92.86,93.18
Kota Palembang,-,95.56,96.01
Kota Prabumulih,-,92.72,93.32
Kota Pagar Alam,-,93.82,94.44
Kota Lubuklinggau,-,95.74,95.83
BENGKULU,91.06,91.34,91.37
Bengkulu Selatan,-,93.74,94.08
Rejang Lebong,-,94.15,94.59
Bengkulu Utara,-,91,91.19
Kaur,-,86.91,87.2
Seluma,-,85.2,85.28
Mukomuko,-,83.98,84.18
Lebong,-,90.64,90.99
Kepahiang,-,94.69,95.2
Bengkulu Tengah,-,85.77,86.36
Kota Bengkulu,-,96.36,96.55
LAMPUNG,90.3,90.49,90.57
Lampung Barat,-,92.47,92.74
Tanggamus,-,90.71,91.14
Lampung Selatan,-,89.52,89.87
Lampung Timur,-,87.85,88.67
Lampung Tengah,-,89.23,89.57
Lampung Utara,-,88.69,89.34
Way Kanan,-,87.85,88.25
Tulangbawang,-,88.51,88.69
Pesawaran,-,87.25,87.57
Pringsewu,-,92.26,92.59
Mesuji,-,83.82,84.49
Tulang Bawang Barat,-,88.08,88.53
Pesisir Barat,-,92.84,93.4
