Provinsi / Kabupaten / Kota,Unnamed: 1_x,Unnamed: 2_x,Unnamed: 1_y,Unnamed: 2_y,Unnamed: 3_x,Unnamed: 1,Unnamed: 2,Unnamed: 3_y
,Indeks Pemberdayaan Gender (IDG),,Indeks Pemberdayaan Gender (IDG),,,Indeks Pemberdayaan Gender (IDG),,
,Indeks Pemberdayaan Gender (IDG),,Indeks Pemberdayaan Gender (IDG),,,2016,2017,2018
,Indeks Pemberdayaan Gender (IDG),,2019,2020.0,2021.0,Indeks Pemberdayaan Gender (IDG),,
,Indeks Pemberdayaan Gender (IDG),,2019,2020.0,2021.0,2016,2017,2018
,2022,2023.0,Indeks Pemberdayaan Gender (IDG),,,Indeks Pemberdayaan Gender (IDG),,
,2022,2023.0,Indeks Pemberdayaan Gender (IDG),,,2016,2017,2018
,2022,2023.0,2019,2020.0,2021.0,Indeks Pemberdayaan Gender (IDG),,
,2022,2023.0,2019,2020.0,2021.0,2016,2017,2018
ACEH,63.92,63.56,63.31,63.47,63.24,67.4,66.28,66.6
SIMEULUE,63.72,64.79,64.51,64.65,64.95,-,58.44,54.09
ACEH SINGKIL,59.51,59.84,59.72,59.83,59.65,-,52.33,59.49
ACEH SELATAN,57.35,57.65,55.96,56.41,55.87,-,48.07,48.35
ACEH TENGGARA,58.94,59.4,58.1,58.83,58.1,-,60.98,64.75
ACEH TIMUR,57.53,57.52,53.21,52.27,47.84,-,54.14,59.03
ACEH TENGAH,72.52,71.78,68.18,71.39,71.82,-,56.48,64.57
ACEH BARAT,57.09,56.86,56.89,57.22,56.69,-,55.9,56.25
ACEH BESAR,47.65,47.2,47.73,47.37,48.11,-,47.27,47.46
PIDIE,64.75,66.3,64.7,65.69,66.02,-,59.61,60.9
BIREUEN,58.16,59.19,57.9,57.98,58.17,-,53.02,53.07
ACEH UTARA,52,49.18,50.65,52.0,51.27,-,51.51,54.04
ACEH BARAT DAYA,53.09,50.62,51.9,52.6,52.3,-,51.62,51.29
GAYO LUES,57.61,57.31,56.51,56.49,56.76,-,61.62,66.56
ACEH TAMIANG,75.64,76.54,74.39,73.5,75.01,-,72.05,73.45
NAGAN RAYA,63.09,63.54,61.8,61.56,61.74,-,59.45,60.44
ACEH JAYA,58.5,58.35,58.29,58.27,58.42,-,57.57,51.79
BENER MERIAH,51.72,52.68,52.36,52.58,52.53,-,50.06,61.02
PIDIE JAYA,56.33,52.15,55.49,55.32,55.04,-,52,54.71
KOTA BANDA ACEH,62.89,62.42,63.3,63.59,62.42,-,51.48,55.82
